stock,STT,indicator,2017,2016,2015,2014,2013
HCD,3,Lợi nhuận trên cổ phiếu (EPS),0.49,0.00,0.00,0.00,0.00
HCM,3,Lợi nhuận trên cổ phiếu (EPS),0.49,0.43,-0.43,0.33,0.15
HD2,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,0.00
HDC,3,Lợi nhuận trên cổ phiếu (EPS),0.68,0.19,1.00,-0.07,-0.36
HDG,3,Lợi nhuận trên cổ phiếu (EPS),0.45,0.49,-0.03,0.43,0.25
HDO,3,Lợi nhuận trên cổ phiếu (EPS),-3.89,-24.99,0.00,0.00,-321.08
HHG,3,Lợi nhuận trên cổ phiếu (EPS),0.25,0.23,3.87,2.28,-1.19
HHS,3,Lợi nhuận trên cổ phiếu (EPS),-0.57,-0.71,2.54,0.66,0.17
HKB,3,Lợi nhuận trên cổ phiếu (EPS),-1.85,10.74,-0.90,6.05,32.75
HLA,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,-13.36,-3.45
HLD,3,Lợi nhuận trên cổ phiếu (EPS),-0.79,-0.13,-0.39,0.07,0.42
HMC,3,Lợi nhuận trên cổ phiếu (EPS),95.12,0.00,-2.42,0.12,-0.20
HNF,3,Lợi nhuận trên cổ phiếu (EPS),0.86,0.24,0.01,0.14,0.02
HNG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-2.11,0.05,0.11,241.00
HNM,3,Lợi nhuận trên cổ phiếu (EPS),-0.59,-0.27,11.83,-1.37,1.49
HPC,3,Lợi nhuận trên cổ phiếu (EPS),-1.22,0.18,0.23,-1.13,0.94
HPG,3,Lợi nhuận trên cổ phiếu (EPS),0.45,0.89,0.09,0.64,0.97
HQC,3,Lợi nhuận trên cổ phiếu (EPS),-0.84,-0.83,19.54,0.05,0.50
HRC,3,Lợi nhuận trên cổ phiếu (EPS),-0.26,-0.69,-0.46,-0.14,-0.27
HSG,3,Lợi nhuận trên cổ phiếu (EPS),-0.12,1.46,0.65,-0.05,0.24
HT1,3,Lợi nhuận trên cổ phiếu (EPS),-0.41,0.08,1.44,154.91,0.67
HUT,3,Lợi nhuận trên cổ phiếu (EPS),-0.21,1.52,-0.38,19.90,-0.67
HVA,3,Lợi nhuận trên cổ phiếu (EPS),0.42,-0.80,0.32,20.69,0.00
HVG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-1.50,-0.55,0.85,-0.35
IDI,3,Lợi nhuận trên cổ phiếu (EPS),1.20,0.03,0.13,1.40,0.07
IDV,3,Lợi nhuận trên cổ phiếu (EPS),0.10,1.67,-0.25,0.74,3.04
IJC,3,Lợi nhuận trên cổ phiếu (EPS),0.39,0.09,-0.45,0.42,-0.12
ITA,3,Lợi nhuận trên cổ phiếu (EPS),1.43,-0.69,0.72,2.02,0.84
ITC,3,Lợi nhuận trên cổ phiếu (EPS),7.11,1.98,0.04,0.00,-51.30
ITD,3,Lợi nhuận trên cổ phiếu (EPS),0.17,0.72,1.49,0.66,-1.22
ITQ,3,Lợi nhuận trên cổ phiếu (EPS),-0.03,-0.97,-0.06,6.07,9.23
JVC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-4.25,3.26,-0.76
KBC,3,Lợi nhuận trên cổ phiếu (EPS),-0.27,-0.11,0.93,3.73,-1.17
KDC,3,Lợi nhuận trên cổ phiếu (EPS),-0.51,-0.78,8.63,0.09,0.41
KDH,3,Lợi nhuận trên cổ phiếu (EPS),0.33,0.44,1.56,0.00,1.38
KHB,3,Lợi nhuận trên cổ phiếu (EPS),-0.67,-0.36,0.90,0.00,-0.58
KHL,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-17.06,-0.71,26.68,0.30
KLF,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.68,-0.46,2.09,2.67
KLS,3,Lợi nhuận trên cổ phiếu (EPS),-1.47,0.05,1.57,-0.71,-1.94
KMR,3,Lợi nhuận trên cổ phiếu (EPS),-0.74,0.77,-0.36,-0.56,5.44
KPF,3,Lợi nhuận trên cổ phiếu (EPS),-0.56,0.00,0.00,0.00,0.00
KSA,3,Lợi nhuận trên cổ phiếu (EPS),0.26,0.19,-0.75,0.19,0.95
