Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
thuysan,SPH,14.9(0),0,0,4%,6%,0,0%,0,"10,000,000","4,900,000(49%)",149
thuysan,AAM,10.4(-0.3),-241,-44,-1%,-1%,22.7,47%,0.2,"10,435,840","6,191,561(59%)",134
thuysan,TS4,7.5(-0.4),599,13.2,1%,4%,16.3,49%,0.1,"16,051,594","7,918,716(49%)",128
thuysan,SPD,7(0),"2,343",3,6%,21%,11.4,61%,0,"12,000,000","5,880,000(49%)",84
thuysan,SNC,12(0),"3,102",3.9,1%,4%,14.7,82%,0,"5,000,000","2,448,000(49%)",60
thuysan,CMX,4.3(0),"-3,358",-1.3,-6%,-90%,3.7,116%,1,"13,221,234","6,478,404(49%)",57
thuysan,BLF,3.9(0),441,8.8,1%,3%,13.8,28%,0.4,"10,500,000","5,145,000(49%)",41
thuysan,ICF,2.1(0),"-1,115",-1.9,-5%,-10%,10.8,19%,-0.3,"12,807,000","6,275,430(49%)",27
thuysan,NGC,7.1(0.1),"1,281",5.5,3%,11%,11.8,59%,0.1,"1,999,944","979,972(49%)",14
thuysan,AVF,0.4(0),"-2,080",-0.1,-97%,5%,-38,-1%,2.6,"43,338,000","21,171,609(49%)",13
thuysan,ATA,1(0.1),60,15,0%,0%,-25.2,-4%,-0.9,"11,999,998","5,879,999(49%)",11
thuysan,SCO,2.6(0.3),0,0,3%,-2%,-24.7,-9%,0,"4,200,000","2,058,000(49%)",10
thuysan,VNH,1(0),"-3,000",-0.3,-142%,-297%,1,92%,1.1,"8,023,071","3,931,304(49%)",7
vantai,GMD,40.2(0.3),"2,278",17.5,5%,7%,38.8,103%,0.8,"179,432,281","36,604,185(20%)","7,159"
vantai,DL1,67.7(2),101,650.5,4%,5%,11.8,556%,-0.1,"101,177,353","7,457,141(7%)","6,647"
vantai,PVT,18.8(-0.5),"1,326",14.5,5%,10%,15.6,123%,1,"281,440,162","125,370,195(45%)","5,418"
vantai,PHP,13.1(-0.2),"1,262",10.5,11%,14%,12,111%,0.2,"326,960,000","160,210,400(49%)","4,349"
vantai,DVP,63.9(-0.1),"7,275",8.8,26%,29%,24.9,257%,0.1,"40,000,000","19,600,000(49%)","2,560"
vantai,VSC,43(1.4),"4,805",8.7,10%,16%,36.6,114%,0.4,"50,112,856","22,322,999(45%)","1,895"
vantai,SGP,8.8(0.1),"1,674",5.2,9%,21%,8.2,106%,0,"216,294,961","105,984,457(49%)","1,882"
vantai,TMS,45(-1),"6,006",7.7,8%,16%,40.7,113%,-0.2,"34,564,342","14,994,045(43%)","1,590"
vantai,CDN,21(1),"1,320",15.2,11%,15%,13.2,151%,0.1,"99,000,000","32,143,700(32%)","1,320"
vantai,PDN,91.2(-0.2),"6,789",13.5,10%,21%,33.1,276%,-0.4,"12,347,987","6,050,513(49%)","1,129"
vantai,VNS,15.7(-0.4),"3,183",5,8%,13%,24.9,64%,0.4,"67,859,192","33,251,004(49%)","1,089"
vantai,CLL,28.4(1.9),"2,296",11.5,13%,14%,16.9,157%,-0.2,"34,000,000","16,660,000(49%)",901
vantai,VTO,8.8(0),"1,094",8,4%,8%,13.9,63%,0.5,"79,866,666","39,134,666(49%)",699
vantai,HAH,20(0.3),"4,226",4.7,12%,19%,22.1,89%,0,"34,507,818","11,366,153(33%)",682
vantai,BSG,10.2(0),37,275.7,0%,0%,10.2,100%,0,"60,000,000",0(0%),612
vantai,TCL,27.4(-0.1),"4,807",5.7,12%,16%,29.5,93%,0.4,"20,943,893","10,262,507(49%)",576
vantai,VIP,8.1(-0.3),720,11.6,3%,4%,16.1,52%,0.5,"68,470,941","33,550,761(49%)",573
vantai,VTV,16(-0.5),"4,107",4,7%,25%,16.5,100%,0.2,"31,199,825","15,287,914(49%)",515
vantai,VOS,3.3(-0.1),"-2,559",-1.3,-9%,-89%,2.9,117%,-0.5,"138,110,000","68,600,000(50%)",469
