stock,STT,indicator,2017,2016,2015,2014,2013
HHG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.12,0.16,0.05,0.02
HHS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.05,0.17,0.18,0.17
HKB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.12,0.02,0.11,0.06
HLA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.24,0.36,0.65,-0.70,0.08
HLD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.10,0.11,0.20,0.20
HMC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.18,-0.12,0.07,0.06
HNF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.11,0.09,0.10,0.14
HNG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,-0.10,0.08,0.11,0.11
HNM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.01,0.01,0.00,0.02
HPC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,0.06,0.05,0.05,-0.37
HPG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.25,0.33,0.24,0.28,0.21
HQC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.00,0.16,0.02,0.02
HRC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.06,0.11,0.13
HSG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.26,0.38,0.22,0.17,0.24
HT1,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.16,0.17,0.08,0.00
HUT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.16,0.09,0.19,0.02
HVA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.02,0.13,0.10,0.07
HVG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,-0.01,0.07,0.18,0.13
