,Stock,Quarterly,Yearly
0,KDC,-92.91021044974553,279.2248498552266
0,KDH,96.3444593981714,43.091773884564574
0,KHB,-97.8291686860799,-22.87468738035554
0,KHP,-13.553644071400461,-2.69433002927264
0,KLF,-156.38206719244653,4.1754317410440445
0,KMR,3.868352925596108,-6.266880099473459
0,KPF,-91.72734210349422,1299.2455368424964
0,KSA,487.21706506660144,-17.902715775833933
0,KSB,-25.43658148189778,33.31294433796585
0,KSD,-73.09085374477613,171.8943040347401
0,KSK,344.2969666499078,-151.26423607589777
0,KSQ,-95.39479980651888,1160.8231552788702
0,KSS,146.34193616278785,-977.4612072466033
0,LAS,3.33302837678211,-30.59197529571914
0,LBE,4.050124364857477,-0.8539824895491877
0,LCG,53.21434011599315,71.00878183175432
0,LCM,-174.2826216252284,-349.17241063577103
